cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi
04831-100,Rua Frei Luís de Granada,,,Jardim Vista Alegre,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01001-000,Praça da Sé,lado ímpar,,Sé,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-200,Avenida Paulista,de 1512 a 2132 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
20040-002,Avenida Rio Branco,de 128 a 144 - lado par,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
69005-000,Rua Marechal Deodoro,,,Centro,Manaus,AM,Amazonas,Norte,1302603,,92,0255
88010-000,Rua Felipe Schmidt,até 348/349,,Centro,Florianópolis,SC,Santa Catarina,Sul,4205407,,48,8105
05413-010,Rua Henrique Schaumann,até 0566 - lado par,,Pinheiros,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
30130-010,Praça Sete de Setembro,,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
70040-010,Quadra SBN Quadra 1,,,Asa Norte,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701
60020-000,Rua Vinte e Quatro de Maio,até 1388/1389,,Centro,Fortaleza,CE,Ceará,Nordeste,2304400,,85,1389
